path,item_type,used_in_paper,should_be_used_in_paper,generated_by,experiment_family,status,meaning,paper_priority,notes
opt_summary_local.csv,CSV,Yes,Yes,navier_optimize_robust_mostrecent.py,production_optimizer,FINAL,174-leaf production run results with parameters/scores/paths,P1-Main,"Core data source; 100% OK; mean score 21.10"
ablations_objective/,folder,Yes (Table I),Yes,navier_optimize_robust_mostrecent.py (modified weights),ablation_objective,FINAL,Objective function ablations removing one term at a time,P1-Main,6 subdirs; 30-image stratified subset
ablations_search/,folder,Yes (Table II),Yes,navier_optimize_robust_mostrecent.py (modified search),ablation_search,FINAL,Search strategy ablations modifying one search knob,P1-Main,5 subdirs; 30-image stratified subset
objective_surface_traces_fullstudy/,folder,No,Maybe (appendix),instrument_full_optimizer_traces.py,trace_analysis,FINAL,Full-population trace study — all 174 leaves,P3-Supporting,Superseded by 9-leaf for main; useful as population evidence
objective_surface_traces_representative_fullbudget/,folder,No,No,instrument_full_optimizer_traces_representative.py,trace_analysis,SUPERSEDED,Earlier pilot representative trace study,P4-Superseded,Replaced by 9-leaf study
objective_surface_traces_representative_fullbudget_9leaf/,folder,Yes (Figs 9-12),Yes,instrument_full_optimizer_traces_representative_9leaf.py (SLURM 12783426),trace_analysis,FINAL,Definitive 9-leaf representative trace study,P1-Main,"3 high + 3 median + 3 low; homogeneous rerun; 833 trace rows"
objective_surface_traces_representative_fullbudget_plus/,folder,No,Maybe (appendix with caveat),instrument_full_optimizer_traces_representative_plus.py,trace_analysis,PARTIAL,Extended representative beyond 9 leaves — manifold/solid3d EMPTY,P3-Supporting,"⚠ manifold_plots/ and solid_3d_plots/ never populated"
optimization_surface_analysis/,folder,No,Maybe (appendix),analyze_optimization_surfaces.py,surface_analysis,FINAL,Score landscape cross-sections — heatmaps and 3D surfaces,P3-Supporting,97 files; superseded by trace-based analysis
optimization_surface_analysis_codex/,folder,No,No,analyze_optimization_surfaces_codex.py,surface_analysis,DIAGNOSTIC,Codex-style alternate rendering of optimization surfaces,P4-Diagnostic,30 files; includes HTML; style variant only
optimizer_full/,folder,No,No,N/A,placeholder,EMPTY,Empty placeholder directory,P4-Not applicable,Never used
optimizer_full_alt/,folder,No,No,N/A,placeholder,EMPTY,Empty placeholder directory,P4-Not applicable,Never used
optimizer_summary/,folder,Yes (Figs 1-3; A1-A2),Yes,summarize_optimizer.py,summary_stats,FINAL,Distribution summaries of 174-leaf production run,P1-Main + P2-Appendix,17 files; histograms + CSVs
parameter_shift_3d_analysis/,folder,No,Maybe (appendix),analyze_parameter_shifts_3d.py,geometry,FINAL,3D parameter shift visualization (PCA 3D + pairplots),P3-Supporting,25 files; largely superseded by manifold/solid3D
parameter_shift_3d_analysis_solid/,folder,Yes (Fig 15; C1),Yes,analyze_parameter_shifts_solid_3d.py,geometry,FINAL,Volumetric parameter geometry (hulls + ellipsoids + isosurfaces),P1-Main + P2-Appendix,25 files; centroid shift 1.616 std units
parameter_shift_3d_analysis_solid_codex/,folder,No,No,analyze_parameter_shifts_solid_3d_codex.py,geometry,DIAGNOSTIC,Codex-style duplicate of solid 3D analysis,P4-Diagnostic,22 files; style variant only
parameter_shift_manifold_geometry/,folder,Yes (Figs 13-14; C2),Yes,build_parameter_shift_manifold_geometry.py,geometry,FINAL,Comprehensive manifold analysis of 7D parameter space,P1-Main + P2-Appendix,"30 plots; 3 reports; 4 CSVs; k-NN 0.534"
optimization_manifold_and_solid3d_final/,folder,Indirectly (provides figures),Yes,merge script,geometry,FINAL,Merged manifold + solid-3D final figures,P1-Main,19 figures; definitive geometry presentation
