paper,item_id,item_type,placement,source_line,source_files,usage_note
paper_b,Tab1,table,main_text,multi_line_assignment,"manual manuscript table",Explicit comparison of the three prior manuscript lines and assignment to Paper B
paper_b,Tab2,table,main_text,multi_line_assignment,"manual manuscript table",Shared experimental substrates table
paper_b,Fig1,figure,main_text,line1_integrated_full_vs_patch,"B_fig01_pipeline_schematic.pdf;B_fig02_dataset_split.pdf;B_fig03_main_comparison.pdf;B_fig05_oracle_gap.pdf",Setup and matched comparison under explicit oracle-gap framing
paper_b,Tab3,table,main_text,line1_integrated_full_vs_patch,"B_table1_main_comparison.csv",Matched comparison table
paper_b,Tab4,table,main_text,line1_integrated_full_vs_patch,"B_table2_statistical_tests.csv",Paired statistical comparison table
paper_b,Fig2,figure,main_text,line1_plus_line3,"B_fig04_runtime_quality_pareto.pdf;B_fig38_gapfill_runtime_frontier.png;B_fig08_refinement_curves.pdf;B_fig19_selective_pareto_real.pdf",Runtime-quality frontier evidence across integrated and selective studies
paper_b,Tab5,table,main_text,line1_integrated_full_vs_patch,"B_table3_routing.csv",Selected routing policies table
paper_b,Tab6,table,main_text,line3_selective_runtime,"B_table4_runtime_comparison.csv",Reference runtime table
paper_b,Fig3,figure,main_text,line1_plus_line3,"B_fig09_risk_coverage.pdf;B_fig10_calibration.pdf;B_fig28_selective_risk_coverage.pdf;B_fig27_selective_calibration.pdf",Calibration and risk-coverage evidence
paper_b,Tab7,table,main_text,line3_selective_runtime,"B_table5_calibration.csv",Calibration-bin table
paper_b,Fig4,figure,main_text,line1_integrated_full_vs_patch,"B_fig11_aggregation_comparison.pdf;B_fig06_patch_ablation.pdf;B_fig12_heterogeneity.pdf;B_fig14_parameter_difficulty.pdf",Patch-branch anatomy
paper_b,Tab8,table,main_text,line1_integrated_full_vs_patch,"B_table8_patch_ablation.csv",Patch extraction ablation table
paper_b,Tab9,table,main_text,line3_selective_runtime,"B_table10_ablation_summary.csv",Selected direct-model and threshold ablations
paper_b,Fig5,figure,main_text,line3_selective_runtime,"B_fig21_method_comparison.pdf;B_fig24_selective_thresholds.pdf;B_fig20_score_recovery.pdf;B_fig22_learning_curves.pdf",Selective full-study threshold and method evidence
paper_b,Tab10,table,main_text,line3_selective_runtime,"B_table11_morphology_fidelity.csv",Morphology-fidelity table
paper_b,Tab11,table,main_text,line3_selective_runtime,"B_table12_phenotype_consistency.csv",Phenotype-consistency table
paper_b,Tab12,table,main_text,line3_selective_runtime,"B_table13_score_tier_eval.csv;B_table14_parameter_extremes_eval.csv",Difficulty stratification table
paper_b,Fig6,figure,main_text,line3_selective_runtime,"B_fig25_phenotype_pca.pdf;B_fig26_per_param_scatter.pdf",Phenotype and parameter-consistency views
paper_b,Fig7,figure,main_text,line1_plus_line3,"B_fig17_leaf_comparison.png;B_fig34_representative_leaf_routing.pdf",Leaf-level branch and routing panels
paper_b,Fig8,figure,main_text,line3_selective_runtime,"B_fig18_failure_taxonomy.pdf;B_fig35_failure_case_montage.pdf;B_fig36_external_18p7_panel.pdf",Failure and cross-collection leaf panels
paper_b,Fig9,figure,main_text,line1_plus_line3,"B_fig07_backbone_comparison.pdf;B_fig23_ood_robustness.pdf",Backbone and robustness comparison
paper_b,Tab13,table,main_text,line3_selective_runtime,"B_table6_ood_robustness.csv",Cross-collection robustness table
paper_b,AppFig1,figure,appendix,line1_plus_dual_gapfill,"B_fig16_speedup_denominators.pdf;B_fig39_gapfill_risk_overlay.png",Denominator and overlay diagnostics
paper_b,AppFig2,figure,appendix,line3_selective_runtime,"B_fig30_ensemble_size.pdf;B_fig31_residual_distributions.pdf",Uncertainty and residual diagnostics
paper_b,AppFig3,figure,appendix,line3_selective_runtime,"B_fig32_feature_pca.pdf;B_fig37_geometry_selective_routing_pca.pdf",Feature-space and routing-space diagnostics
paper_b,AppFig4,figure,appendix,line1_plus_line3,"B_fig33_backbone_comparison_selective.pdf;B_fig15_geometry_pca.pdf",Additional backbone and contextual geometry evidence
paper_b,AppFig5,figure,appendix,line1_plus_line3,"B_fig13_domain_robustness.pdf;B_fig29_score_tier.pdf",Additional robustness and score-tier context
paper_b,AppTab1,table,appendix,line1_integrated_full_vs_patch,"B_table9_backbone.csv",Integrated full-leaf backbone table
