figure_name,current_or_candidate,source_path,produced_by,paper_section,what_it_shows,how_to_read_it,main_takeaway,main_or_appendix,notes
Fig 1 — Optimizer status bar,Current,optimizer_summary/status_bar.png (copied to figs_from_outputs/exp_v1/optimizer_status_bar.png),summarize_optimizer.py,Results,Bar chart of optimizer run status across 174 images,Each bar = one status category (OK/timeout/error); height = count,100% OK status — all images successfully optimized,Main,Simple but foundational — proves pipeline reliability
Fig 2 — Runtime histogram,Current,optimizer_summary/elapsed_seconds_hist.png (copied to figs_from_outputs/exp_v1/optimizer_elapsed_seconds_hist.png),summarize_optimizer.py,Results,Histogram of per-image optimizer wall-clock time,X-axis = seconds; Y-axis = count; distribution shape shows typical runtime,Median ~250s per leaf — practical runtime on CPU,Main,Establishes computational feasibility
Fig 3 — Score histogram,Current,optimizer_summary/score_hist.png (copied to figs_from_outputs/exp_v1/optimizer_score_hist.png),summarize_optimizer.py,Results,Histogram of objective scores across 174 images,X-axis = score; Y-axis = count; spread shows score variability,Score range 11-46 with mean 21.10; no catastrophic failures,Main,Shows consistent optimization across diverse phenotypes
Fig 4 — Threshold sweep,Current,threshold_sweep_plot.png (copied to figs_from_outputs/exp_v1/threshold_sweep_plot.png),threshold sweep script,Results 8.1,Dice vs probability threshold curve,X-axis = threshold; Y-axis = Dice; flat top near 0.3,Best threshold 0.3; teacher-empty disagree persist across all thresholds,Main,Demonstrates threshold insensitivity and semantic disagreement
Fig 5 — Teacher-student montage,Current,teacher_student_figures/montage_teacher_student.png (copied to figs_from_outputs/exp_v1/montage_teacher_student.png),teacher-student eval script,Results 8.1,Side-by-side worst/median/best teacher vs student comparisons,Rows sorted by Dice; columns = image/teacher/student overlays and masks,Student approximates teacher well for median-to-best; worst cases are teacher-empty,Main (2-column),Key qualitative evidence for distillation
Fig 6 — Disagreement montage,Current,paper_disagreement_montage_roi_thr0p30.png (copied to figs_from_outputs/exp_v1/montage_disagreement_roi.png),montage script,Results 8.1,Teacher-empty/student-nonempty disagreement cases,Columns: raw image + teacher overlay (empty) + student overlay (predicted),Disagreements are semantic — optimizer inner mask empty but student sees lesion,Main (2-column),Explains dominant failure mode
Fig 7 — E_thr vs lesion count scatter,Current,optimizer_summary/ (derived) (copied to figs_from_outputs/exp_v1/scatter_energy_threshold_vs_lesion_count.png),analysis script,Results 8.2,Scatter: energy threshold vs connected-component count,X = E_thr; Y = n_c; inverse relationship expected,Higher thresholds suppress faint edges yielding fewer components,Main,Physics interpretation of parameter effects
Fig 8 — Beta vs area fraction scatter,Current,optimizer_summary/ (derived) (copied to figs_from_outputs/exp_v1/scatter_beta_vs_area_frac.png),analysis script,Results 8.2,Scatter: balloon force vs mask area fraction,X = beta; Y = area/total; positive trend expected,Larger balloon → more expansion → larger masks,Main,Physics interpretation of parameter effects
Fig 9 — High-score surface (DSC_0198),Current,objective_surface_traces_representative_fullbudget_9leaf/surface_plots/ (copied to figs_from_outputs/9leaf/surface_DSC_0198_...),reconstruction script,Results 8.4,Projected T-beta surface for high-score leaf,3D scatter colored by score; red star = optimum; triangulated surface overlay,Sharp landscape with distinct peak — refinement gains possible,Main,Key evidence for score-tier landscape theory
Fig 10 — Median-score surface (DSC_0379),Current,objective_surface_traces_representative_fullbudget_9leaf/surface_plots/ (copied to figs_from_outputs/9leaf/surface_DSC_0379_...),reconstruction script,Results 8.4,Projected T-beta surface for median-score leaf,Same format as Fig 9; intermediate relief,Moderate surface curvature — variable refine utility,Main,Intermediate case in landscape spectrum
Fig 11 — Low-score surface (DSC_0261),Current,objective_surface_traces_representative_fullbudget_9leaf/surface_plots/ (copied to figs_from_outputs/9leaf/surface_DSC_0261_...),reconstruction script,Results 8.4,Projected T-beta surface for low-score leaf,Same format; flatter surface,Flat landscape — random sampling already near-optimal,Main,Completes the high/median/low comparison
Fig 12 — Convergence trajectory (DSC_0198),Current,objective_surface_traces_representative_fullbudget_9leaf/trajectory_plots/ (copied to figs_from_outputs/9leaf/traj_DSC_0198_...),reconstruction script,Results 8.4,Best-score-so-far vs candidate index,X = candidate #; Y = score; blue = random phase; orange = refine phase,Refine phase achieves distinct score improvement on high-score leaves,Main,Shows phase transition from exploration to exploitation
Fig 13 — PCA 2D global-local,Current,parameter_shift_manifold_geometry/plots/pca2d_global_local_dD.png (copied to figs_from_outputs/manifold/pca2d_global_local_dD.png),manifold geometry script,Results 8.5,PCA 2D projection of global and local parameter vectors colored by dD,Circles = global; triangles = local; color = Dice improvement,PC1 separates clouds; centroid shift 1.616 std — systematic directional displacement,Main,Core evidence for manifold structure
