paper,item_id,item_type,placement,source_line,source_files,usage_note
paper_a,Fig1,figure,main_text,optimizer_manifold_strengthened,"A_fig1_manifold_pca2d_global_local_dD.png;A_fig2_solid3d_convex_hull_global_local.png;A_fig3_gapfill_geometry_summary_compact.png",Primary geometry summary
paper_a,Tab1,table,main_text,multi_line_assignment,"manual manuscript table",Explicit comparison of the three prior manuscript lines and assignment to Paper A
paper_a,Tab2,table,main_text,optimizer_manifold_strengthened,"A_table1_manifold_geometry_summary.csv;A_table4_gapfill_geometry_summary_compact.csv",Geometry metrics table
paper_a,Fig2,figure,main_text,optimizer_manifold_strengthened,"A_fig5_manifold_embedding_consistency.png;A_fig6_manifold_mean_delta_parameters.png;A_fig7_manifold_pca3d_global_local_dD.png;A_fig8_solid3d_covariance_ellipsoids.png",Secondary geometry evidence
paper_a,Fig3,figure,main_text,optimizer_manifold_strengthened,"A_fig9_solid3d_pos_neg_dD.png;A_fig10_solid3d_raw_threshold_beta_mu.png",Raw 3D geometry context
paper_a,Tab3,table,main_text,line1_integrated_full_vs_patch,"A_table3_parameter_difficulty.csv",Per-parameter difficulty limits
paper_a,Fig4,figure,main_text,optimizer_strengthened_expv1,"A_fig26_scatter_beta_vs_area_frac.png;A_fig27_scatter_energy_threshold_vs_lesion_count.png;A_fig29_threshold_sweep_plot.png",Morphology-linked parameter interpretation
paper_a,Fig5,figure,main_text,dual_gapfill,"A_fig4_gapfill_refinement_contraction_curve.png",Refinement contraction curve
paper_a,Tab4,table,main_text,line1_integrated_full_vs_patch,"A_table2_refinement_budget.csv",Refinement runtime-quality table
paper_a,Tab5,table,main_text,line3_selective_runtime,"A_table6_morphology_fidelity.csv",Morphology-fidelity table for refinement budgets
paper_a,Tab6,table,main_text,line3_selective_runtime,"A_table5_ablation_summary.csv;A_table7_phenotype_consistency.csv",Representation and phenotype-consistency summary
paper_a,Fig6,figure,main_text,optimizer_strengthened_expv1,"A_fig11_montage_teacher_student.png;A_fig12_montage_disagreement_roi.png;A_fig13_qual_grid_teacher_student.png",Leaf-level qualitative evidence
paper_a,Fig7,figure,main_text,optimizer_strengthened_9leaf,"A_fig30_leaf0163_surface_beta.png;A_fig31_leaf0163_surface_mu.png;A_fig32_leaf0163_trajectory.png;A_fig33_leaf0205_surface_beta.png;A_fig34_leaf0205_surface_mu.png;A_fig35_leaf0205_trajectory.png;A_fig36_leaf0274_surface_beta.png;A_fig37_leaf0274_surface_mu.png;A_fig38_leaf0274_trajectory.png",Representative optimization landscapes and traces
paper_a,AppFig1,figure,appendix,optimizer_manifold_strengthened,"A_figA1_centroid_shift_groups.png;A_figA2_radar_group_means.png;A_figA3_tsne2d_delta_ddgroup.png",Additional manifold diagnostics
paper_a,AppFig2,figure,appendix,optimizer_manifold_strengthened,"A_figA4_parallel_delta_patchtype.png;A_figA5_param3d_delta_correlation.png;A_figA6_param3d_delta_pairplot.png;A_figA7_density_isosurfaces.png",Extended displacement diagnostics
paper_a,AppFig3,figure,appendix,optimizer_strengthened_expv1,"A_fig14_optimizer_score_hist.png;A_fig15_optimizer_elapsed_seconds_hist.png;A_fig16_optimizer_status_bar.png;A_fig17_area_px_hist.png;A_fig18_n_contours_hist.png",Optimizer and dataset heterogeneity
paper_a,AppFig4,figure,appendix,optimizer_strengthened_expv1,"A_fig19_param_mu_hist.png;A_fig20_param_lambda_hist.png;A_fig21_param_diffusion_rate_hist.png;A_fig22_param_alpha_hist.png;A_fig23_param_beta_hist.png;A_fig24_param_gamma_hist.png;A_fig25_param_energy_threshold_hist.png",Teacher-target parameter histograms
paper_a,AppFig5,figure,appendix,optimizer_strengthened_expv1,"A_fig28_scatter_teacher_vs_pred_area_frac.png;A_fig29_threshold_sweep_plot.png",Additional morphology-linked summary plots
