figure_label,filename,source_path,description
fig:paramdist_status,optimizer_status_bar.png,figures/exp_v1/optimizer_status_bar.png,Optimizer run status distribution bar chart
fig:objterms_runtime,optimizer_elapsed_seconds_hist.png,figures/exp_v1/optimizer_elapsed_seconds_hist.png,Per-image optimizer runtime histogram (elapsed seconds)
fig:optimizer_score_hist,optimizer_score_hist.png,figures/exp_v1/optimizer_score_hist.png,Histogram of optimizer objective scores across images
fig:thresh_sweep,threshold_sweep_plot.png,figures/exp_v1/threshold_sweep_plot.png,Threshold sweep on stitched probability maps
fig:teacher_student_montage,montage_teacher_student.png,figures/exp_v1/montage_teacher_student.png,Teacher-student qualitative montage (worst/median/best)
fig:disagreement,montage_disagreement_roi.png,figures/exp_v1/montage_disagreement_roi.png,Teacher-empty/student-nonempty disagreement cases
fig:scatter_et_lc,scatter_energy_threshold_vs_lesion_count.png,figures/exp_v1/scatter_energy_threshold_vs_lesion_count.png,Energy threshold vs lesion count scatter (174 images)
fig:scatter_beta_af,scatter_beta_vs_area_frac.png,figures/exp_v1/scatter_beta_vs_area_frac.png,Balloon force beta vs area fraction scatter
fig:surface_high,surface_DSC_0198_segment_1_segmented_smoothed__surface_energy_threshold_vs_beta.png,figures/9leaf/surface_DSC_0198_segment_1_segmented_smoothed__surface_energy_threshold_vs_beta.png,Trace-based objective surface (T vs beta) for high-score leaf DSC_0198
fig:surface_med,surface_DSC_0379_segment_1_segmented_smoothed__surface_energy_threshold_vs_beta.png,figures/9leaf/surface_DSC_0379_segment_1_segmented_smoothed__surface_energy_threshold_vs_beta.png,Trace-based objective surface (T vs beta) for median-score leaf DSC_0379
fig:surface_low,surface_DSC_0261_segment_1_segmented_smoothed__surface_energy_threshold_vs_beta.png,figures/9leaf/surface_DSC_0261_segment_1_segmented_smoothed__surface_energy_threshold_vs_beta.png,Trace-based objective surface (T vs beta) for low-score leaf DSC_0261
fig:trajectory_high,traj_DSC_0198_segment_1_segmented_smoothed__trajectory_best_score_so_far.png,figures/9leaf/traj_DSC_0198_segment_1_segmented_smoothed__trajectory_best_score_so_far.png,Convergence trajectory (best score so far) for high-score leaf DSC_0198
fig:pca2d_global_local,pca2d_global_local_dD.png,figures/manifold/pca2d_global_local_dD.png,PCA 2D projection of global vs local parameter vectors colored by delta-D
fig:mean_delta,mean_delta_parameters.png,figures/manifold/mean_delta_parameters.png,Mean parameter shift profile (global to local) across 150 patches
fig:cov_ellipsoids,pca3d_covariance_ellipsoids.png,figures/solid3d/pca3d_covariance_ellipsoids.png,Covariance ellipsoids (2-sigma) for global and local parameter clouds in PCA space
fig:qual_grid,qual_grid_teacher_student.png,figures/exp_v1/qual_grid_teacher_student.png,Qualitative grid across Dice spectrum (6 rows worst to best)
fig:patch_area_err_hist,hist_area_frac_error.png,figures/exp_v1/hist_area_frac_error.png,Distribution of signed area-fraction error (predicted minus teacher)
